ダウンロードした時刻：2019/01/25 17:08:20

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2005,8,7,曇時々晴,8,1,曇時々雨,8,1
2005,8,8,晴一時薄曇,8,1,薄曇時々晴,8,1
2005,8,9,晴,8,1,晴時々曇,8,1
2005,8,10,晴,8,1,晴,8,1
2005,8,11,晴,8,1,晴,8,1
2005,8,12,晴後一時薄曇,8,1,晴,8,1
2005,8,13,晴,8,1,晴一時薄曇,8,1
2005,8,14,晴、雷を伴う,8,1,晴,8,1
2005,8,15,晴,8,1,晴,8,1
2005,8,16,晴時々曇、雷を伴う,8,1,晴,8,1
2005,8,17,薄曇時々晴,8,1,薄曇時々晴、雷を伴う,8,1
2005,8,18,晴時々薄曇,8,1,晴時々薄曇,8,1
2005,8,19,晴,8,1,晴,8,1
2005,8,20,晴,8,1,晴,8,1
2005,8,21,晴,8,1,晴一時雨,8,1
2005,8,22,晴,8,1,晴,8,1
2005,8,23,薄曇一時晴,8,1,晴後時々薄曇,8,1
2005,8,24,晴時々薄曇,8,1,薄曇,8,1
2005,8,25,晴,8,1,晴時々曇,8,1
2005,8,26,晴一時雨,8,1,晴時々雨,8,1
2005,8,27,晴、雷を伴う,8,1,晴,8,1
2005,8,28,晴後曇,8,1,晴後一時雨,8,1
2005,8,29,曇一時雨,8,1,晴時々曇,8,1
2005,8,30,薄曇一時晴,8,1,曇,8,1
2005,8,31,曇一時雨後晴,8,1,晴後曇,8,1
2005,9,1,晴一時曇,8,1,晴,8,1
2005,9,2,晴時々雨,8,1,晴,8,1
2005,9,3,雨、大風を伴う,8,1,晴後曇時々雨,8,1
2005,9,4,暴風雨,8,1,暴風雨,8,1
2005,9,5,曇時々雨,8,1,雨後一時曇,8,1
2005,9,6,曇後晴,8,1,曇,8,1
2005,9,7,晴時々曇,8,1,曇一時雨,8,1
2005,9,8,晴時々雨,8,1,晴,8,1
2005,9,9,曇一時晴,8,1,曇時々晴,8,1
2005,9,10,晴後一時薄曇,8,1,晴一時曇,8,1
2005,9,11,晴時々曇,8,1,薄曇,8,1
2005,9,12,晴,8,1,晴時々曇,8,1
2005,9,13,晴,8,1,晴,8,1
2005,9,14,晴後一時霧,8,1,晴一時雨,8,1
2005,9,15,晴,8,1,晴一時霧,8,1
2005,9,16,晴,8,1,晴,8,1
2005,9,17,晴,8,1,晴,8,1
2005,9,18,晴,8,1,晴,8,1
2005,9,19,晴,8,1,晴,8,1
2005,9,20,晴,8,1,晴,8,1
2005,9,21,晴,8,1,晴,8,1
2005,9,22,晴時々曇一時雨,8,1,晴,8,1
